datetime,price,rsi,macd,macd_signal,adx,bb_upper,bb_lower,sma14,sma28
2024-11-08 16:00:00,317.7300109863281,86.53114556895908,9.641665400273439,8.962605799721999,61.712027395301746,321.44894864407775,225.23452194569617,302.3605717250279,295.6602565220424
2024-11-08 16:30:00,317.94000244140625,86.61966760788114,9.978079216021058,9.16570048298181,62.65087209486742,323.51905124386116,225.8172764451735,303.81021554129467,296.8807918003627
2024-11-08 17:00:00,317.29998779296875,84.7905518728284,10.076885689839514,9.347937524353352,63.53857579449308,325.456142603945,226.41697021082206,305.1181073869978,298.04947662353516
2024-11-08 17:30:00,317.3644104003906,84.82528774478897,10.044600990547508,9.487270217592183,64.36287208700261,327.3063663004805,227.04047905387222,306.45877947126115,299.1653485979353
2024-11-08 18:00:00,321.1000061035156,86.7193350504093,10.202834561544705,9.630383086382688,65.3409761296804,329.2548764240467,227.7733975671294,308.0516444614955,300.3687417166574
2024-11-08 18:30:00,324.78009033203125,88.27231302923502,10.504103086264024,9.805127086358954,66.45656508172716,331.3150184819374,228.55861585644152,310.04451424734935,301.71106610979353
2024-11-08 19:00:00,326.7099914550781,88.99883089923728,10.774387027569048,9.998979074600973,67.6244683235246,333.3468192354827,229.45974346070173,312.09022739955356,303.0496368408203
2024-11-08 19:30:00,322.8900146484375,78.61727867923209,10.558635418345887,10.110910343349957,67.42798211210611,334.93729046905617,230.6487369488079,313.89685712541853,304.31678009033203
2024-11-08 20:00:00,319.0487060546875,69.79996392059951,9.962843752150093,10.081297025109984,65.68159363461605,336.1075098212358,232.1299033126579,315.4032004220145,305.43153708321705
2024-11-08 20:30:00,321.260009765625,71.76326411492526,9.558919024781972,9.976821425044383,64.05994719123244,337.2608911662505,233.73080805249953,317.095223563058,306.58760833740234
2024-11-11 14:30:00,344.8900146484375,83.84749846157699,11.018534866928405,10.185164113421187,64.55901061133342,340.1598447540511,234.44489048416034,320.53379603794644,308.5960017613002
2024-11-11 15:00:00,344.9258117675781,83.858768107549,12.039396794160552,10.55601064956906,64.07143239269966,342.8211579284996,235.37771368404927,323.1363547188895,310.6122807094029
2024-11-11 15:30:00,349.19989013671875,85.18761392150692,13.042968409967216,11.053402201648693,63.7510690564207,345.5829298784787,236.39486640360838,325.612060546875,312.67850167410717
2024-11-11 16:00:00,356.7936096191406,87.20333913651217,14.28637144761609,11.699996050842172,63.843531289062824,348.76967369669916,237.27824816522187,328.70946829659596,314.819344656808
2024-11-11 16:30:00,345.8599853515625,72.00883970765426,14.225542017618352,12.205105244197409,62.90660233763007,351.0258619251956,238.3995629230884,330.718752179827,316.5396619524275
2024-11-11 17:00:00,344.3800048828125,70.22513728915757,13.897708073330989,12.543625810024125,62.036596882728226,352.9515251800203,239.8045069462702,332.6073237827846,318.20876966203963
2024-11-11 17:30:00,341.84991455078125,67.16228010988354,13.280649109601086,12.691030469939518,60.45598626243789,354.4890245130637,241.5091471570325,334.36088997977123,319.7394986833845
2024-11-11 18:00:00,340.6400146484375,65.68687644502074,12.54933569441664,12.662691514834943,58.35415161629328,355.79217179225327,243.37350050999282,336.02343314034596,321.24110630580356
2024-11-11 18:30:00,347.5163879394531,69.75367554890435,12.38189956961611,12.606533125791177,56.89108441640005,357.46228272186585,245.07686751617123,337.91031755719865,322.9809810093471
2024-11-11 19:00:00,345.42999267578125,67.15303726196967,11.943177062546624,12.473861913142267,55.70075222633783,358.8419227217552,246.94387003773141,339.3853105817522,324.7149124145508
2024-11-11 19:30:00,344.0556945800781,65.42277918916922,11.35371340336144,12.249832211186103,54.02006181774449,359.933160761625,249.051764099738,340.6242893763951,326.35725838797435
2024-11-11 20:00:00,346.7648010253906,67.21601253931411,10.978606909285588,11.995587150806001,52.45942072405067,361.003783257439,251.2888132870992,342.32963126046315,328.11324419294084
2024-11-11 20:30:00,350.6231994628906,69.63165953682677,10.867400193450862,11.769949759334974,51.37944049205221,362.1825911672953,253.52839810359612,344.584952218192,329.99407632010326
2024-11-12 14:30:00,340.2799987792969,57.41784907113462,9.831328778154557,11.382225563098892,48.598656465538575,362.4269384869236,256.35119381549686,345.94352286202565,331.51937321254184
2024-11-12 15:00:00,339.6007080078125,56.714255099962564,8.853365541913377,10.87645355886179,46.016499869490204,362.2581726839575,259.65391325790216,345.56571524483815,333.0497556413923
2024-11-12 15:30:00,341.00079345703125,57.86042462276566,8.097949702722929,10.320752787634019,44.01000984430626,361.93546636118015,263.1480765988506,345.2853567940848,334.21085575648715
2024-11-12 16:00:00,340.4032897949219,57.16475503174312,7.366151249368727,9.729832479980962,42.11974222023608,361.2350975850264,267.02356286768014,344.6570281982422,335.1345443725586
2024-11-12 16:30:00,336.6671142578125,52.88311806092047,6.4108176462093525,9.06602951322664,39.88456436217834,361.6628668336776,268.65783367552996,343.21942138671875,335.9644448416574
2024-11-12 17:00:00,332.7200012207031,48.73052336011191,5.274409735973677,8.307705557776048,37.16852810406742,361.89305645698323,270.2670017008014,342.2808510916574,336.4998016357422
2024-11-12 17:30:00,328.239990234375,44.462914420454844,3.9665746309140673,7.439479372403652,34.95960457938627,361.95506621582604,271.79338392717057,341.12799290248324,336.86765834263394
2024-11-12 18:00:00,325.07000732421875,41.68135768586917,2.643838238038313,6.480351145530585,33.54745249381213,361.8746249862055,273.3200106775082,339.92942810058594,337.14515904017856
2024-11-12 18:30:00,331.75,48.93150461312219,2.1102540042174383,5.606331717267956,31.698093268408773,362.01670600008987,274.8075726951528,339.29442705426897,337.65893009730746
