datetime,price,rsi,macd,macd_signal,adx,bb_upper,bb_lower,sma14,sma28,volume,atr,prediction,next_movement
2025-01-02 19:00:00,242.4884033203125,16.80386367830353,-2.6570694848833796,-2.207728461868764,60.21687573170769,260.97176795114353,242.9820633128074,245.9072004045759,248.79191752842493,2352814.0,1.228665830597895,-1,1
2025-01-02 19:30:00,241.9600067138672,15.73901173998027,-2.6916592193800852,-2.3045146133710284,61.5653748227164,260.85878785458,242.49182914545494,245.3493434361049,248.3929890223912,2429762.0,1.1957397137917956,-1,0
2025-01-02 20:00:00,243.23109436035156,27.621086889427687,-2.5866879544442156,-2.3609492815856656,61.46846654643496,260.64219632038714,242.15171302496717,244.83585030691964,248.0463709150042,2676656.0,1.2160437147737433,-1,1
2025-01-02 20:30:00,243.82000732421875,32.37890920061844,-2.427988773066943,-2.374357179881921,60.606795618372146,260.38075949075414,241.88350747701932,244.33941541399275,247.70637130737305,6023491.0,1.1963123120862216,0,1
2025-01-03 14:30:00,243.09500122070312,29.783273040259573,-2.3338176645980298,-2.366249276825143,60.303834385781705,260.1213740344909,241.5891427588964,243.81905800955636,247.36262130737305,6485183.0,1.274432381660978,-1,0
2025-01-03 15:00:00,242.4597930908203,27.6889343671873,-2.2841125425165103,-2.3498219299634164,60.02251324123344,259.8160880444054,241.3006716645441,243.50528608049666,247.01761409214564,2650346.0,1.3012582041483636,-1,0
2025-01-03 15:30:00,243.00750732421875,32.1212529534981,-2.1754477069676454,-2.3149470853642624,59.85180390267881,259.4481671389368,241.09350406903607,243.31011526925224,246.68684659685408,3034094.0,1.2875969474485922,0,1
2025-01-03 16:00:00,243.49000549316406,35.851511718854226,-2.027030130516721,-2.2573636943947544,59.02215642868553,259.0269463117349,240.9572248744398,243.17261614118303,246.39407185145788,1933942.0,1.2667404132558358,0,1
2025-01-03 16:30:00,243.32009887695312,35.119607747774324,-1.9012022992000084,-2.1861314153558054,57.68781687075053,258.7792956071084,240.72989018390723,243.06012289864677,246.09055764334542,1764876.0,1.2297301116951511,0,0
2025-01-03 17:00:00,242.7707061767578,32.788684863946116,-1.8247793157144372,-2.113860995427532,56.82516096231909,258.6347916184349,240.43799062556624,242.92660195486886,245.79022598266602,1908513.0,1.2025350339624616,0,0
2025-01-03 17:30:00,242.5279998779297,31.78503150716878,-1.7634697392067835,-2.0437827441833822,56.18169397121551,258.479672183063,240.149467308427,242.86227308000838,245.47640446254186,1558626.0,1.1537828367123528,0,0
2025-01-03 18:00:00,243.00999450683594,35.97630783129432,-1.6568889354865348,-1.9664039824440127,55.187876350234134,258.3013834891289,239.90918453019307,242.8640583583287,245.20117950439453,1754745.0,1.134227268576649,0,1
2025-01-03 18:30:00,242.72000122070312,34.598909812719285,-1.57763689915231,-1.8886505657856723,54.265045702180004,258.1766006880252,239.64414614250632,242.86647251674108,244.91725104195731,1755649.0,1.0882103375622456,0,0
2025-01-03 19:00:00,242.6699981689453,34.35466696387425,-1.5015549272455075,-1.8112314380776393,53.40813152898688,258.0339055594791,239.39362718152262,242.8979012625558,244.66653660365515,1374778.0,1.040123405317286,0,0
2025-01-03 19:30:00,243.25999450683594,39.75839479030764,-1.3777695727033574,-1.7245390650027832,51.80965518863193,257.8101983237484,239.21590564964026,242.95301491873605,244.43010766165597,1786084.0,1.0231430679118103,0,1
2025-01-03 20:00:00,242.85000610351562,37.45130996038375,-1.297791294934342,-1.639189510989095,50.325355729730916,257.5479976081231,239.04596383509679,243.01658630371094,244.18296486990792,1221058.0,0.9829179527094043,0,0
2025-01-03 20:30:00,243.3000030517578,41.46611751081135,-1.1844434142590785,-1.548240291643092,48.35015640329098,257.2302724523928,238.93511756225567,243.0215083530971,243.92867933000838,4381782.0,0.9834242055990228,0,1
2025-01-06 14:30:00,244.42559814453125,50.09488692295128,-0.9923491024631232,-1.4370620538070984,46.28073357250088,256.89681035966584,238.89038675337125,243.06476484026228,243.70209012712752,7659516.0,1.1190860787481998,0,1
2025-01-06 15:00:00,245.5500030517578,56.925870838231184,-0.7408429213916463,-1.2978182273240082,44.35912665819578,256.50501008710336,238.92825832371557,243.24012211390905,243.5295900617327,2918083.0,1.1351803679754489,0,1
2025-01-06 15:30:00,246.33999633789062,60.96828835267936,-0.4723318573120707,-1.1327209533216207,43.127695403220216,256.1206973467022,238.99721385586477,243.51727948869978,243.51128278459822,2254021.0,1.1348106904638098,0,1
2025-01-06 16:00:00,246.74000549316406,62.8684849875489,-0.22466767953770272,-0.9511102985648372,42.58463830613967,255.6745357363653,239.12266133307529,243.7838865007673,243.54700088500977,2752779.0,1.1333960335138278,0,1
2025-01-06 16:30:00,246.25,59.07449101157202,-0.06715723567018017,-0.7743196859859058,41.65112494106603,255.52373931383747,239.0941718887295,243.9810289655413,243.57682255336218,2243381.0,1.1146536166389562,0,0
2025-01-06 17:00:00,245.77000427246094,55.53874691118808,0.01872344990007946,-0.6157110588087088,40.53470475622486,255.38317836494898,239.05080448417212,244.15602220807756,243.60807255336218,1110712.0,1.0913720402969997,0,0
2025-01-06 17:30:00,244.9499969482422,50.029730758113786,0.02038182498296237,-0.4884924820503746,38.32699678386246,255.19395629813454,238.99931206908786,244.31168583461218,243.61914389474052,1743515.0,1.094845422393531,0,0
2025-01-06 18:00:00,245.02999877929688,50.54514190634032,0.027830762639354134,-0.38522783311242886,36.004443048145106,254.98416647217147,238.96374492657992,244.49040004185267,243.67633656093054,1326562.0,1.0573569868096182,0,1
2025-01-06 18:30:00,244.8699951171875,49.44665789387662,0.020585840319938598,-0.3040650984259554,33.917652852522565,254.7231639422487,238.9508189504689,244.62325722830636,243.7436577933175,1082489.0,1.0189735601569223,0,0
2025-01-06 19:00:00,244.97999572753906,50.247195507324285,0.023450000122608117,-0.23856207871624271,32.04314038089516,254.41283978891425,238.97292855650983,244.78468540736608,243.82557896205358,983281.0,0.9790462669370082,0,1
2025-01-06 19:30:00,244.58999633789062,47.38234517667913,-0.0056842989227448015,-0.19198652275754316,30.02455044676737,254.05811766707043,239.01265041677445,244.92182813371932,243.90986469813757,1109071.0,0.9541147394995434,0,0
2025-01-06 20:00:00,244.89500427246094,49.79327144088045,-0.00411442107036919,-0.1544121024201084,28.05307407169368,253.7343318747307,239.05340038583708,245.03861454554968,243.99581473214286,1197104.0,0.9252496189465627,0,1
2025-01-06 20:30:00,245.0,50.631851352946676,0.0055381557523617175,-0.12242205078561437,26.67003190041548,253.36878536990687,239.1285895734176,245.19218553815568,244.1043859209333,3773029.0,0.9248745153750448,0,1
2025-01-07 14:30:00,244.90530395507812,49.82357052991766,0.005483502605414969,-0.09684094010740851,25.941813337737713,253.00076277574817,239.209787260001,245.30684988839286,244.164179120745,5372581.0,1.0395262485123185,0,0
2025-01-07 15:00:00,245.38890075683594,53.87330945568423,0.04395571577748569,-0.06868160893042967,25.024889203933842,252.57881183776385,239.34777049866193,245.37565721784318,244.22021102905273,2800949.0,1.0620532432474876,0,1
2025-01-07 15:30:00,244.6699981689453,47.70881819006384,0.01624848870702067,-0.051695589402939605,24.33708380209444,252.1867219200115,239.4523603074229,245.31279972621374,244.2764609200614,2531758.0,1.0832567242683144,0,0
2025-01-07 16:00:00,243.77000427246094,41.33250661026612,-0.07743900559717076,-0.05684427264178584,24.01358751527592,251.82808743608837,239.5127808326058,245.12922886439733,244.32325417654855,1623157.0,1.0823092486369839,0,0
2025-01-07 16:30:00,243.0800018310547,37.22480362111328,-0.20500132260750092,-0.08647568263492886,24.34793954247148,251.4374687032387,239.57522115969377,244.86780003138952,244.3258432660784,2826140.0,1.0675156140384716,0,0
2025-01-07 17:00:00,242.38999938964844,33.62593238069138,-0.3576500412593475,-0.1407105543598126,23.196831012350927,251.08769901581064,239.5929301694572,244.5920857020787,244.28655733380998,1620539.0,1.1956788664257907,0,0
2025-01-07 17:30:00,242.25999450683594,32.97899093167848,-0.4835415916381294,-0.209276761815476,22.822213901106764,250.70099215906822,239.63826194772588,244.34137071881975,244.24869646344865,1867863.0,1.20741613384906,0,0
2025-01-07 18:00:00,243.15550231933594,41.34958243607958,-0.505227606560112,-0.2684669307644032,21.702152429176397,250.33889409488754,239.7137710706049,244.21319253104073,244.26243918282645,1581087.0,1.2089156109653103,0,1
2025-01-07 18:30:00,242.32000732421875,36.73922748295614,-0.5831096679293353,-0.3313954781973896,20.764985719036215,249.9468938713698,239.78452146850884,244.01962171282088,244.2550108773368,1496417.0,1.201842624384083,0,0
2025-01-07 19:00:00,242.45799255371094,37.96933508465272,-0.6264758838240141,-0.39041155932271454,19.894759488191756,249.5865630086358,239.84991301762673,243.8473358154297,244.23529652186804,1081351.0,1.134561219363903,0,1
2025-01-07 19:30:00,242.210205078125,36.59326300650532,-0.6730794597560532,-0.4469451394093823,19.55332863987408,249.20703645775254,239.9273041009807,243.64949362618583,244.21708951677596,1073984.0,1.0999503576431555,0,0
2025-01-07 20:00:00,242.00999450683594,35.474553157507515,-0.7178930253924705,-0.501134716606,19.324317288339117,248.9072672897204,239.95278727134965,243.46520778111048,244.1935179574149,1607995.0,1.0592395306184212,0,0
2025-01-07 20:30:00,242.19000244140625,37.32965491922185,-0.7304626444251312,-0.5470003021698262,19.32295946496497,248.55967986463594,240.02573175209818,243.27199336460657,244.15530395507812,4772501.0,1.045436515178043,0,1
2025-01-08 14:30:00,240.92860412597656,30.674483362518345,-0.8326106429673814,-0.6041223703293372,20.54259984383569,248.23028656013184,240.0393607656564,242.9811793736049,244.0866824558803,4512221.0,1.123619577640214,0,0
2025-01-08 15:00:00,242.40989685058594,43.42920268814875,-0.7849868843867114,-0.640295273140812,20.534547265164484,247.74436275585282,240.23920952285113,242.80293600899833,244.0548929486956,2658329.0,1.1858966547535248,0,1
2025-01-08 15:30:00,243.47000122070312,50.454637665945725,-0.6541623729607409,-0.6430686931047979,19.58249339548116,247.1403729474849,240.5824816667729,242.6658717564174,244.0207644871303,2504992.0,1.217424666439657,0,1
2025-01-08 16:00:00,242.7100067138672,46.040299768740795,-0.6048360369420038,-0.6354221618722391,18.698443373632355,246.50583197935887,240.94309412886517,242.52587236676897,243.91933604649134,1649236.0,1.2018943331225387,0,0
2025-01-08 16:30:00,243.27499389648438,49.57249567253424,-0.514227126212063,-0.6111831547402039,17.897420386341704,246.31296707079125,241.00818738739096,242.49051448277064,243.80987167358398,1267330.0,1.183187769428518,0,1
2025-01-08 17:00:00,241.3699951171875,40.0523419823105,-0.5893428152853915,-0.6068150868492415,18.372044873960103,246.24276065414668,240.92232581959078,242.36837114606584,243.61808558872767,1742628.0,1.2445887075636461,0,0
2025-01-08 17:30:00,241.39999389648438,40.24694825349658,-0.6390849161791721,-0.6132690527152276,18.843179479831257,246.18602880590257,240.83566483249027,242.2976564679827,243.44487108503068,1432175.0,1.1901896362365554,0,1
2025-01-08 18:00:00,242.35000610351562,46.20293199067137,-0.594989179097098,-0.6096130779916017,18.28598601903199,246.13143519408976,240.79936565255503,242.30408586774553,243.32272829328264,1180673.0,1.1879397626660873,0,1
2025-01-08 18:30:00,241.4219970703125,41.817986199854616,-0.6276899440991883,-0.6132284512131191,17.96980140270453,246.10872002707643,240.70715216530638,242.18026406424386,243.1967282976423,1236797.0,1.1998723315855855,0,0
2025-01-08 19:00:00,242.7949981689453,49.46038942647814,-0.5366298866560157,-0.5979087383016984,17.103311403124525,246.10226884939323,240.6909745588099,242.21419198172433,243.1169068472726,1524430.0,1.252452120749673,0,1
2025-01-08 19:30:00,241.8699951171875,45.156886038828524,-0.5329605137378621,-0.5849190933889312,16.298713546371662,246.11044625870025,240.64297552474702,242.1721921648298,243.00976399012976,1048899.0,1.2369200879896518,0,0
2025-01-08 20:00:00,242.38400268554688,47.87116017636267,-0.48300857208113257,-0.5645369891273715,15.616880460582589,246.11166590036743,240.6309630146019,242.18460627964564,242.91704995291573,1403320.0,1.204997834913382,0,1
2025-01-08 20:30:00,242.72000122070312,49.62620739837427,-0.4115647623139296,-0.5339425437646832,14.626758112279662,246.10888791949128,240.65124119166245,242.23532104492188,242.8502644130162,3573432.0,1.203712022416779,0,1
2025-01-10 14:30:00,237.9499969482422,32.76247974724966,-0.7314132320964575,-0.5734366814310381,16.566324117468987,246.37628202961193,240.22176113968217,241.93246350969588,242.60222843715124,8348503.0,1.492732592244152,0,0
2025-01-10 15:00:00,237.4250030517578,31.493980489754406,-1.0155514240148875,-0.661859629947808,18.99483733917257,246.6502119925117,239.7858667602785,241.6822062901088,242.33169283185686,4788900.0,1.5396798282613107,0,0
2025-01-10 15:30:00,235.91000366210938,28.11146483547489,-1.3474482331079685,-0.7989773505798401,21.359742106137833,247.02764122302057,239.14697000483238,241.21792820521765,242.010432107108,3439980.0,1.5700595789491187,0,0
2025-01-10 16:00:00,233.77000427246094,24.16361954361186,-1.7628380122484657,-0.9917494829135654,24.125953926354875,247.55110876006782,238.2645737873652,240.52507128034318,241.5954715183803,4987995.0,1.6779125969566593,0,0
2025-01-10 16:30:00,234.88999938964844,29.725973839087175,-1.9788521829988213,-1.1891700229306166,26.818802519051616,247.86655628310163,237.6560904846509,239.96649932861328,241.24618584769112,4647641.0,1.6986616291634382,0,1
2025-01-10 17:00:00,235.57000732421875,32.9419619068988,-2.0712973854387258,-1.3655954954322385,28.389965434085486,248.0871713549861,237.18941163538776,239.41614314488,240.95332881382532,2532030.0,1.6544705536707374,0,1
2025-01-10 17:30:00,235.71499633789062,33.639288813680764,-2.1085553590752113,-1.5141874681608332,29.84890242661693,248.25580132752202,236.76033484191157,239.01221466064453,240.69029290335519,1794748.0,1.5959363323426938,0,1
2025-01-10 18:00:00,237.11500549316406,40.11495460294236,-2.002035316243507,-1.6117570377773682,29.864796579418428,248.30973699853374,236.4787205994713,238.70614406040735,240.50190026419503,2163823.0,1.6033485251217874,0,1
2025-01-10 18:30:00,237.44000244140625,41.54107858678889,-1.8698385424700916,-1.6633733387159129,29.66968770444744,248.34241410510867,236.23604004876967,238.35542951311385,240.3297576904297,1734236.0,1.5377531174261463,0,1
2025-01-10 19:00:00,236.8300018310547,39.63327135237628,-1.7936178875762607,-1.6894222484879826,29.729705846142686,248.4047421372481,235.96154400428372,238.02742985316686,240.10384695870536,1441127.0,1.5043416137121135,0,0
2025-01-10 19:30:00,236.35989379882812,38.17807100570381,-1.750962255827659,-1.7017302499559182,30.012184792362817,248.48185408178705,235.66414255691973,237.56777954101562,239.89098576137,1489999.0,1.4640316728331233,0,0
2025-01-10 20:00:00,235.9949951171875,37.04121007753543,-1.726697342242943,-1.7067236684133233,30.366856133820054,248.5497510392321,235.34570990698722,237.14813668387276,239.66016442435128,2090666.0,1.4030294540844404,0,0
2025-01-10 20:30:00,236.92999267578125,41.8217492842562,-1.6134222076406672,-1.6880633762587922,29.797550976227587,248.57484424679464,235.11383067996317,236.75856454031808,239.47158540998186,5097626.0,1.4113837083406857,0,1
2025-01-13 14:30:00,230.32000732421875,26.501503585611687,-2.0335795837020783,-1.7571666177474496,31.350156168648773,249.00912016370282,234.2384836614576,235.8728506905692,239.05408586774553,9340139.0,1.7912845668548556,-1,0
2025-01-13 15:00:00,230.3800048828125,26.76374870074021,-2.3348018869540965,-1.8726936715887792,32.90842663887191,249.3417776244608,233.44582657127023,235.33213697160994,238.6323002406529,3974335.0,1.777621819473482,-1,1
2025-01-13 15:30:00,231.11500549316406,30.05618277516669,-2.4855623107622193,-1.9952673994234673,33.97255752331379,249.57411667267203,232.79438035840357,234.88142286028182,238.2818145751953,3318043.0,1.7635061060149968,0,1
2025-01-13 16:00:00,230.72500610351562,29.30339960685984,-2.6064650179255864,-2.117506923123891,34.960679058866965,249.77345859596838,232.14593140124143,234.51106589181083,237.86449704851424,2039146.0,1.726827098442497,-1,0
2025-01-13 16:30:00,230.64950561523438,29.151182741818644,-2.677508887071127,-2.2295073159133385,35.78970004983169,249.88839685058505,231.538989842007,234.28817313058036,237.4066222054618,2057867.0,1.6934819133277428,-1,0
2025-01-13 17:00:00,232.32000732421875,36.954523057018065,-2.5693977207326384,-2.2974853968771987,35.846036966797286,249.82162063727094,231.133266207909,234.10460226876395,237.0355507986886,2102628.0,1.724662125433797,0,1
2025-01-13 17:30:00,233.1501007080078,40.463617808409026,-2.3891960786468474,-2.3158275332311287,35.31258992686769,249.64785308490863,230.83596605920408,233.93175179617745,236.67394747052873,1592231.0,1.6911151795322759,0,1
2025-01-13 18:00:00,233.3800048828125,41.43586672850135,-2.2024452160180488,-2.2931510697885127,34.65206874166687,249.41563251631834,230.59104374885328,233.7649666922433,236.38859067644393,1328391.0,1.6128213253301937,0,1
2025-01-13 18:30:00,233.8800048828125,43.59328172005863,-1.9911453069382787,-2.2327499172184657,33.65012246996809,249.17856911144293,230.38632161382912,233.53389522007532,236.12001964024134,1472982.0,1.5440479375554925,0,1
2025-01-13 19:00:00,233.55999755859375,42.513821326121814,-1.8284334803099114,-2.151886629836755,32.65987504929444,248.9613153908664,230.16750366605328,233.25675201416016,235.806090763637,1205543.0,1.4837585811759708,0,0
2025-01-13 19:30:00,233.92999267578125,44.23324645231529,-1.6506005756794195,-2.051629419005288,31.535061316276252,248.7667090967949,229.96853837896543,233.0496085030692,235.53851917811804,1387124.0,1.4370616704530221,0,1
2025-01-13 20:00:00,233.6844024658203,43.307310842405364,-1.51205378024585,-1.9437142912534005,30.49059142133079,248.55627038926517,229.7737772181567,232.85850197928292,235.2131407601493,1903814.0,1.3742431174714447,0,0
2025-01-13 20:30:00,234.39999389648438,46.80167901620836,-1.3291901223432205,-1.8208094574713645,28.88382153907879,248.3243286901097,229.63179030228704,232.74457332066126,234.946355002267,4579852.0,1.3485828511983728,0,1
2025-01-14 14:30:00,234.9250030517578,49.27212141998565,-1.1288923367014831,-1.6824260333173884,27.334651459541938,248.06263460649868,229.5343775046202,232.60135977608817,234.67996215820312,4648820.0,1.378684381288556,0,1
2025-01-14 15:00:00,235.61000061035156,52.37938864605006,-0.9044553223456262,-1.526831891123036,25.961927392955374,247.80611453223497,229.47018344575747,232.97921643938338,234.42603356497628,2214720.0,1.377349826221628,0,1
2025-01-14 15:30:00,234.77000427246094,48.45941520145385,-0.7853154283960748,-1.3785285985776439,24.587762442321917,247.52339653532505,229.39129429981028,233.29278782435827,234.3124623979841,2089072.0,1.3732463038268912,0,0
2025-01-14 16:00:00,234.2100067138672,45.98845935672401,-0.7276949129855552,-1.248361861459226,22.8420373605711,247.22434058116892,229.30499335089024,233.51385934012276,234.19764110020228,1747618.0,1.3288856582410418,0,0
2025-01-14 16:30:00,233.1741943359375,41.748095443884566,-0.7568867226499378,-1.1500668336973685,21.998539470251483,246.9321912464526,229.17817448492298,233.68880135672433,234.09993362426758,1655894.0,1.3290580275184674,0,0
2025-01-14 17:00:00,233.3249969482422,42.57822020851976,-0.7591024708623877,-1.0718739611303723,21.439774196515675,246.5788726760358,229.10063934789,233.87990788051061,234.0840405055455,1424946.0,1.2859114615182643,0,1
2025-01-14 17:30:00,233.02999877929688,41.33722612674615,-0.7757203329861397,-1.0126432355015258,21.06885379852438,246.26436393425837,228.9994338257514,233.93062155587333,234.01761191231864,1048509.0,1.2512037179639464,0,0
2025-01-14 18:00:00,234.02020263671875,46.9287653381087,-0.70090928667355,-0.9502964457359306,20.043812270819995,245.98063382880022,228.93495672993302,233.9927716936384,233.96226174490792,1130546.0,1.2439744450011199,0,1
2025-01-14 18:30:00,234.69500732421875,50.39854096331887,-0.5804784999708374,-0.876332856582912,18.736190649101793,245.72450617836475,228.89162029083863,234.08670043945312,233.92583356584822,1200679.0,1.2303405979251472,0,1
2025-01-14 19:00:00,234.25869750976562,48.20408138104511,-0.5143140967273894,-0.8039291046118076,17.65413415319643,245.50382334156777,228.8218994890684,234.11374991280692,233.82382256644112,1247731.0,1.1913875236871903,0,0
2025-01-14 19:30:00,233.14999389648438,43.07182798872486,-0.5450583528328536,-0.7521549542560169,17.17709520049011,245.29236236708303,228.7080032988977,234.08446393694197,233.67060797555106,1860309.0,1.2205734751900026,0,0
2025-01-14 20:00:00,233.2949981689453,43.91290782835781,-0.551366949382043,-0.711997353281222,17.171429937915235,245.00398876817448,228.64421603529232,234.0391071864537,233.54435784476144,1759663.0,1.193246615285248,0,1
2025-01-14 20:30:00,233.27999877929688,43.8407529894694,-0.5512227304750752,-0.6798424287199927,17.029125939225782,244.75872190278204,228.5666254526518,234.01022120884485,233.4343615940639,4851942.0,1.1723010824272615,0,0
